Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2011-09-02,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,362.0,40,,,,,
2011-09-21,"Bicycling, 12-14 mph, moderate (cycling, biking, bike riding)",Cardio,362.0,40,,,,,
2011-11-14,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,135.0,40,,,,,
2011-11-14,"Walking, 3.5 mph, brisk pace",Cardio,152.0,45,,,,,
2011-11-15,"Music playing, piano, organ, violin, trumpet",Cardio,203.0,90,,,,,
2011-11-15,"Running (jogging), 10 mph (6 min mile)",Cardio,271.0,15,,,,,
2011-11-15,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,101.0,30,,,,,
2011-12-10,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2011-12-11,"Running (jogging), 7 mph (8.5 min mile)",Cardio,227.0,18,,,,,
2011-12-11,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-12,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2011-12-12,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-13,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,207.0,60,,,,,
2011-12-14,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2011-12-14,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-15,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2011-12-15,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-17,"Running (jogging), 7 mph (8.5 min mile)",Cardio,303.0,24,,,,,
2011-12-17,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-18,"Running (jogging), 7 mph (8.5 min mile)",Cardio,278.0,22,,,,,
2011-12-18,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-19,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2011-12-19,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2011-12-20,"Running (jogging), 7 mph (8.5 min mile)",Cardio,304.0,23,,,,,
2011-12-20,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,151.0,40,,,,,
2011-12-21,"Running (jogging), 7 mph (8.5 min mile)",Cardio,238.0,18,,,,,
2011-12-21,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,151.0,40,,,,,
2011-12-23,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2011-12-23,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2012-01-10,"Running (jogging), 10 mph (6 min mile)",Cardio,184.0,10,,,,,
2012-01-10,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,103.0,30,,,,,
2014-04-04,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,113.0,30,,,,,
2014-04-05,Pilates,Cardio,115.0,40,,,,,
2014-04-07,"Walking, 3.5 mph, brisk pace",Cardio,196.0,45,,,,,
2014-04-08,"Walking, 3.5 mph, brisk pace",Cardio,131.0,30,,,,,
2014-04-09,"Walking, 3.5 mph, brisk pace",Cardio,196.0,45,,,,,
2014-04-11,"Walking, 3.5 mph, brisk pace",Cardio,491.0,110,,,,,
2014-04-13,Pilates,Cardio,102.0,35,,,,,
2014-04-13,"Walking, 3.5 mph, brisk pace",Cardio,133.0,30,,,,,
2014-04-14,"Walking, 3.5 mph, brisk pace",Cardio,290.0,65,,,,,
2014-04-15,"Walking, 3.5 mph, brisk pace",Cardio,66.0,15,,,,,
2014-06-25,"Walking, 3.5 mph, brisk pace",Cardio,468.0,105,,,,,
2014-07-12,"Walking, 3.5 mph, brisk pace",Cardio,468.0,105,,,,,
2014-07-14,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,116.0,30,,,,,
2014-07-16,"Walking, 3.5 mph, brisk pace",Cardio,468.0,105,,,,,
2014-07-17,"Walking, 3.5 mph, brisk pace",Cardio,133.0,30,,,,,
2014-07-18,"Walking, 3.5 mph, brisk pace",Cardio,468.0,105,,,,,
2014-07-19,Leg Press,Strength,,,4,10,120.0,,
2014-07-19,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,232.0,60,,,,,
2014-07-20,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,95.0,25,,,,,
2015-01-19,"Walking, 3.5 mph, brisk pace",Cardio,487.0,108,,,,,
2015-01-20,Leg Press,Strength,,,4,10,120.0,,
2015-01-20,"Walking, 3.5 mph, brisk pace",Cardio,487.0,108,,,,,
2015-01-21,"Walking, 3.5 mph, brisk pace",Cardio,316.0,70,,,,,
2015-01-21,cross trainer,Cardio,50.0,5,,,,,
2015-01-22,"Walking, 3.5 mph, brisk pace",Cardio,497.0,110,,,,,
2015-01-23,"Walking, 3.5 mph, brisk pace",Cardio,496.0,110,,,,,
2015-01-25,"Running (jogging), 10 mph (6 min mile)",Cardio,133.0,7,,,,,
2015-01-25,"Running (jogging), 7 mph (8.5 min mile)",Cardio,136.0,10,,,,,
2015-01-25,"Walking, 3.5 mph, brisk pace",Cardio,112.0,25,,,,,
2015-01-27,"Walking, 3.5 mph, brisk pace",Cardio,496.0,110,,,,,
2015-01-28,"Walking, 3.5 mph, brisk pace",Cardio,307.0,68,,,,,
2015-01-28,cross trainer,Cardio,50.0,5,,,,,
2015-01-29,"Walking, 3.5 mph, brisk pace",Cardio,496.0,110,,,,,
2015-01-30,"Walking, 3.5 mph, brisk pace",Cardio,496.0,110,,,,,
2015-01-31,Pilates,Cardio,102.0,35,,,,,
2015-02-01,"Running (jogging), 10 mph (6 min mile)",Cardio,74.0,4,,,,,
2015-02-01,"Running (jogging), 7 mph (8.5 min mile)",Cardio,107.0,8,,,,,
2015-02-01,"Walking, 3.5 mph, brisk pace",Cardio,155.0,35,,,,,
2015-02-02,"Walking, 3.5 mph, brisk pace",Cardio,623.0,140,,,,,
2015-02-03,"Walking, 3.5 mph, brisk pace",Cardio,89.0,20,,,,,
2015-02-04,"Walking, 3.5 mph, brisk pace",Cardio,311.0,70,,,,,
2015-02-04,cross trainer,Cardio,50.0,5,,,,,
2015-02-05,"Walking, 3.5 mph, brisk pace",Cardio,489.0,110,,,,,
2015-02-06,"Walking, 3.5 mph, brisk pace",Cardio,66.0,15,,,,,
2015-10-05,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,95.0,25,,,,,
2015-12-03,"Walking, 3.5 mph, brisk pace",Cardio,440.0,100,,,,,
2015-12-04,"Walking, 3.5 mph, brisk pace",Cardio,440.0,100,,,,,
2015-12-07,"Walking, 3.5 mph, brisk pace",Cardio,440.0,100,,,,,
2015-12-10,"Walking, 3.5 mph, brisk pace",Cardio,440.0,100,,,,,
2015-12-11,"Walking, 3.5 mph, brisk pace",Cardio,532.0,120,,,,,
2015-12-16,"Walking, 3.5 mph, brisk pace",Cardio,354.0,80,,,,,
2017-03-02,"Walking, 3.5 mph, brisk pace",Cardio,117.0,25,,,,,
2017-03-03,"Walking, 3.5 mph, brisk pace",Cardio,94.0,20,,,,,
2017-03-06,"Walking, 3.5 mph, brisk pace",Cardio,94.0,20,,,,,
2017-03-07,Spinning®,Cardio,260.0,30,,,,,
2017-03-10,"Walking, 3.5 mph, brisk pace",Cardio,235.0,50,,,,,
2017-03-11,Spinning®,Cardio,391.0,45,,,,,
2017-03-11,"Walking, 3.5 mph, brisk pace",Cardio,235.0,50,,,,,
